label,source,target,id,Weight,Nature of Relationship,Weight_dynamic,Citation,size
Personal,122,124,133,1.0,Lamberto is Guilio's son,"<[6.31152E11, 1.3677948E12, 1.0]>",http://en.wikipedia.org/wiki/Giulio_Andreotti,1
Service,67,88,80,1.0,Founder of Clinton Foundation,"<[9.783072E11, 1.479168E12, 1.0]>",https://www.clintonfoundation.org/about/board-directors,1
Donor,20,8,5,1.0,ALPAC is Carson's PAC,"<[2008.0, 2016.0, 1.0]>",,1
Service,118,68,127,1.0,Spellings was Bush admin domestic policy advisor in 2001 then the Secretary of Education until 2009,"<[9.783072E11, 1.230768E12, 1.0]>",http://www.reuters.com/article/2012/06/11/idUS112254+11-Jun-2012+BW20120611,1
Personal,164,166,203,1.0,Sanders and Driscoll are married,,http://en.wikipedia.org/wiki/Bernie_Sanders#Personal_life,1
Corporate,155,156,185,1.0,Viard is CEO and President of VCS,,http://www.washingtonpost.com/politics/role-of-hillary-clintons-brother-in-haiti-gold-mine-raises-eyebrows/2015/03/20/c8b6e3bc-cc05-11e4-a2a7-9517a3a70506_story.html,1
Corporate,156,148,187,1.0,Viard and Rodham met at Clinton Foundation and Rodham was then given the position at VCS mining,,http://www.washingtonpost.com/politics/role-of-hillary-clintons-brother-in-haiti-gold-mine-raises-eyebrows/2015/03/20/c8b6e3bc-cc05-11e4-a2a7-9517a3a70506_story.html,1
Service,69,70,49,1.0,"Cheney was selected to be the Secretary of Defense during the Presidency of George H. W. Bush, holding the position for the majority of Bush's term from 1989 to 1993","<[6.31152E11, 7.27488E11, 1.0]>",,1
Corporate,89,96,93,1.0,Giustra helped found the CGE Partnership,"<[2008.0, 2016.0, 1.0]>",http://www.cgepartnership.com/,1
Service,70,69,48,1.0,"Cheney was selected to be the Secretary of Defense during the Presidency of George H. W. Bush, holding the position for the majority of Bush's term from 1989 to 1993","<[6.31152E11, 7.27488E11, 1.0]>",,1
Corporate,59,57,25,1.0,Mitchell was DLA Piper's chairman between 2003 and 2009,"<[1.0413792E12, 1.2622176E12, 1.0]>",,1
Service,9,72,55,1.0,Memeber of CFR,"<[2008.0, 2016.0, 1.0]>",http://en.wikipedia.org/wiki/Members_of_the_Council_on_Foreign_Relations,1
Personal,105,3,109,1.0,Married,"<[6.31152E11, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/Chris_Christie#Early_life.2C_education.2C_and_family,1
Corporate,70,71,47,1.0,Cheney was the Chairman and CEO of Halliburton Company from 1995 to 2000,"<[7.889184E11, 9.466848E11, 1.0]>",,1
Service,89,99,98,1.0,Giustra helped found the ICG,"<[2008.0, 2016.0, 1.0]>",http://en.wikipedia.org/wiki/International_Crisis_Group,1
Personal,59,61,27,1.0,"Chancellor of Queen's University in Belfast, Northern Ireland, from 1999 to 2009","<[2008.0, 2016.0, 1.0]>",,1
Corporate,22,1,7,1.0,"Hillary served on board of directors for Wal Mart. Wal Mart is also incorporated in Arkansas, where Bill Clinton was formerly Governor","<[6.31152E11, 7.2576E11, 1.0]>",,1
Corporate,89,93,86,1.0,"Giustra is now Chief Executive Officer of Fiore Financial Corporation, an exclusive advisory services provider to Endeavour Mining Corporation","<[2008.0, 2016.0, 1.0]>",http://en.wikipedia.org/wiki/Frank_Giustra#Investment_industry,1
Donor,74,1,63,1.0,"Contributed over $4,500.00 to Clinton in 2007","<[2008.0, 2016.0, 1.0]>",http://en.wikipedia.org/wiki/Lloyd_Blankfein#Politics,1
Corporate,149,151,177,1.0,Blanco is on the board of CGFM,,http://web.archive.org/web/20100502153700/http://www.gulfcoastfunds.com/managementteam/KathleenBlanco.html,1
Donor,16,1,3,1.0,Hillary's PAC,"<[2008.0, 2016.0, 1.0]>",,1
Corporate,107,108,112,1.0,Palatucci was a founding partner,"<[6.31152E11, 1.479168E12, 1.0]>",,1
Corporate,59,60,26,1.0,Mitchell served as chairman of The Walt Disney Company from March 2004 until January 2007,"<[1.0780992E12, 1.1676096E12, 1.0]>",,1
Service,1,72,57,1.0,Member of CFR,"<[2008.0, 2016.0, 1.0]>",http://en.wikipedia.org/wiki/Members_of_the_Council_on_Foreign_Relations,1
Service,3,121,130,1.0,"Christie used to work for Ashcroft, then set him up to manage a contract worth a possible 50 million dollars","<[1.1991456E12, 1.479168E12, 1.0]>",http://blog.nj.com/ledgerarchives/2008/11/christie_quits_setting_gop_whe_1.html,1
Personal,63,64,29,1.0,Miriam González Durántez and Nick Clegg are married,"<[9.730368E11, 1.479168E12, 1.0]>",,1
Service,151,152,178,1.0,Blanco didn't run after Katrina and was secceeded by Jindal,,http://en.wikipedia.org/wiki/Kathleen_Blanco#Hurricane_Katrina,1
Service,102,88,102,1.0,BMGates foundation donates over 25 million to Clinton Foundation,"<[2008.0, 2016.0, 1.0]>",https://www.clintonfoundation.org/contributors?category=Greater+than+%2425%2C000%2C000,1
Corporate,93,94,88,1.0,Fiore Financial Corporation is the exclusive advisory services provider to Endeavour Mining Corporation,"<[2008.0, 2016.0, 1.0]>",http://www.endeavourmining.com/s/Home.asp,1
Service,68,70,46,1.0,Cheney was Vice President for G.W. Bush,"<[9.799488E11, 1.2324096E12, 1.0]>",,1
Corporate,130,131,143,1.0,Quinn was on the board of Fannie Mae,"<[8.520768E11, 9.782208E11, 1.0]>",https://www.academi.com/pages/about-us/board-of-directors/jack-quinn,1
Personal,140,135,161,1.0,Raines got preferred loans with countrywide for being friends with Mozilo,,http://www.wsj.com/articles/SB121279970984353933,1
Corporate,63,57,31,1.0,was a partner at DLA Piper from 2006 to 2011.,"<[1.1360736E12, 1.3252896E12, 1.0]>",,1
Corporate,89,91,84,1.0,Frank founded Yorkton Securities,"<[2008.0, 2016.0, 1.0]>",http://en.wikipedia.org/wiki/Frank_Giustra#Investment_industry,1
Corporate,5,81,72,1.0,Served as CEO of Bain & Co.,"<[2008.0, 2016.0, 1.0]>",http://en.wikipedia.org/wiki/Mitt_Romney,1
Corporate,158,1,199,1.0,Clinton attended personal events at Osorio's residence prior to the 2008 election,,http://www.orlandosentinel.com/business/brinkmann-on-business/os-cnbc-tackles-claudio-osorio-jeb-bush-the-clintons-20150224-post.html,1
Corporate,122,123,132,1.0,Andreotti is on the board of Dupont,"<[1.325376E12, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/Lamberto_Andreotti,1
Corporate,163,4,198,1.0,"Bush recieved 75k for ""real-estate"" consulting form Recarey in 1985, Recarey got caught with fraud and remains a fugitive",,http://www.tampabay.com/news/politics/stateroundup/jeb-bushs-tie-to-fugitive-miguel-recarey-goes-against-business-savvy-image/2221816,1
Corporate,123,9,134,1.0,Biden was senator of the state where Dupont is headquartered,"<[6.31152E11, 1.479168E12, 1.0]>",,1
Corporate,3,109,115,1.0,Christie lobbied on behalf of FirstEnergy subsidaries,"<[9.151488E11, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/Chris_Christie#Lobbyist,1
Service,69,67,37,1.0,Clinton defeated Bush in 1992,"<[6.94224E11, 1.479168E12, 1.0]>",,1
Personal,66,1,33,1.0,Made her his Secretary of State and ran against her in Primaries,"<[1.232496E12, 1.3596768E12, 1.0]>",,1
Corporate,105,106,110,1.0,Worked at Cantor Fitzgerald until 2001,"<[6.31152E11, 9.783072E11, 1.0]>",http://en.wikipedia.org/wiki/Chris_Christie#Early_life.2C_education.2C_and_family,1
Personal,74,81,71,1.0,"His son, Alexander Blankfein, works for Bain & Co.","<[2008.0, 2016.0, 1.0]>",http://www.nytimes.com/2013/03/17/fashion/weddings/cristina-ros-alexander-blankfein-weddings.html?_r=0,1
Corporate,4,162,195,1.0,Jeb Bush founded Jeb Bush and Associates,,,1
Corporate,52,54,20,1.0,David Koch is Chairman of Americans for Prosperity,"<[2008.0, 2016.0, 1.0]>",,1
Personal,51,52,16,1.0,Brothers,"<[6.31152E11, 1.479168E12, 1.0]>",,1
Corporate,74,21,62,1.0,Served as CEO of GS since 2006,"<[1.1360736E12, 1.479168E12, 1.0]>",,1
Corporate,130,127,141,1.0,Quinn co-chairs the Governance and Compliance Committee of Academi with former Attorney General and Senator John Ashcroft.,"<[1.2365568E12, 1.479168E12, 1.0]>",https://www.academi.com/pages/about-us/board-of-directors/jack-quinn,1
Personal,84,85,76,1.0,Anne Gust and Jerry Brown are Married,"<[2008.0, 2016.0, 1.0]>",http://en.wikipedia.org/wiki/Anne_Gust#Personal_life,1
Corporate,3,111,118,1.0,Christie lobbied on behalf of Sec. Industry while at DH&P,"<[9.151488E11, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/Chris_Christie#Lobbyist,1
Personal,52,51,17,1.0,Brothers,"<[6.31152E11, 1.479168E12, 1.0]>",,1
Personal,154,1,182,1.0,Hugh is Hillary's brother,,,1
Corporate,134,136,148,1.0,Countrywide was bought by BAC during the financial collapse and TARP legislation,"<[1.230768E12, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/Bank_of_America_Home_Loans#Countrywide_Financial.27s_former_management,1
Corporate,5,104,105,1.0,Romney founded Bain Capital Steped down in 1994,"<[6.31152E11, 7.83648E11, 1.0]>",http://en.wikipedia.org/wiki/Mitt_Romney,1
Service,1,66,34,1.0,She ran against him in 2008 and served as his Sec. State,"<[1.1991456E12, 1.262304E12, 1.0]>",,1
